"id","idcircu","idlabel","electores","participacion","mesascircuito","pJXC","pFDT","pFIT","pLib","pjxccircu","pfdtcircu","plibcircu","pfitcircu","zdifjxc","zdiffdt","zdiflib","zdiffit","atipicas","atipicajxc","atipicafdt","atipicalib","atipicafit"
"210200425A007837X","210200425A","Santa Fe",350,70.86,112,28.51,35.32,2.13,11.49,33.75,29.87,3.93,2.75,-1.02394260351506,1.06197231595666,5.12464476626927,-0.567762696312349,1,0,0,1,0
"2102100165008008X","2102100165","Santa Fe",350,46.57,30,12.08,49.66,2.01,2.68,40.62,30.37,2.73,1.94,-3.72541494438483,3.24479169495268,-0.0441754123817927,0.0921177293865194,1,1,1,0,0
"2200100007000291X","2200100007","S del Estero",347,42.94,34,55.56,,,1.39,28.04,43.11,1.4,0,4.30750684832193,,,,1,1,,0,
"220010002A000044X","220010002A","S del Estero",348,43.97,36,40.27,1.34,,2.01,18.71,49.44,0.58,0,3.59863036012023,-5.04173402783501,,,1,1,1,0,
"220010004A000180X","220010004A","S del Estero",349,82.52,42,22.22,27.96,,1.43,21.58,46.93,0.99,0,0.145424772514526,-3.3971223991485,,,1,0,1,0,
"220010008B000606X","220010008B","S del Estero",348,43.1,48,51.82,,,0.73,22.4,45.49,1.01,0,4.63804813617391,,,,1,1,,0,
"220010008B000618X","220010008B","S del Estero",348,44.54,48,45.58,,,,22.4,45.49,1.01,0,3.65431528880052,,,,1,1,,,
"2200600044000967X","2200600044","S del Estero",350,33.71,108,38.94,20.35,,1.77,10.92,33.32,0.49,0,6.56003372189305,-2.55395865810193,,,1,1,0,0,
"2200600044000981X","2200600044","S del Estero",350,67.14,108,12.17,14.78,,,10.92,33.32,0.49,0,0.292649612861039,-3.65076280040168,,,1,0,1,,
"2200600048001145X","2200600048","S del Estero",346,65.32,91,9.81,21.96,,,12.92,34.96,0.53,0,,-3.41357777428359,,,1,0,1,,
"2200600052001179X","2200600052","S del Estero",344,36.92,33,14.17,73.23,,,5.3,83.77,0.15,0,3.32352344806584,-1.90373936960977,,,1,1,0,,
"2200800071001311X","2200800071","S del Estero",343,44.61,41,6.67,24,,5.33,4.94,62.3,2.46,0,0.962507321035726,-4.18838101618215,,,1,0,1,0,
"2201600139001695X","2201600139","S del Estero",348,15.23,15,42,,,6,9.46,76.91,1.04,0,3.69303463815788,,,,1,1,,0,
"2201600140001743X","2201600140","S del Estero",346,73.12,43,15.04,23.58,,2.85,16,56.69,1.55,0,-0.223415009911335,-3.81266501385191,,,1,0,1,0,
"2201700145001782X","2201700145","S del Estero",340,92.94,27,26.3,52.27,,,8.12,64.48,0.42,0,4.5520840596413,-2.54164907603601,,,1,1,0,,
"2201800154001818X","2201800154","S del Estero",347,17.29,25,31.58,,,1.75,5.68,80.83,0.52,0,4.57836553921675,,,,1,1,,0,
"2202100178001950X","2202100178","S del Estero",349,73.35,18,12.5,40.23,,0.39,11.83,65.51,0.9,0,0.301168802312549,-3.54467515055128,-0.925868460608903,,1,0,1,0,
"2202700224002293X","2202700224","S del Estero",347,46.97,67,13.5,25.15,,6.13,9.77,52.77,1.79,0,,-3.00440961470925,,,1,0,1,0,
"2202700224002304X","2202700224","S del Estero",347,74.64,67,9.38,20.31,,3.52,9.77,52.77,1.79,0,,-3.53088834516518,,,1,0,1,0,
"2300100005000117X","2300100005","Tucumán",343,67.35,32,82.89,1.32,6.14,,76.19,13.3,0,3.95,1.6460796216148,-3.40195998023417,,1.71068538266564,1,0,1,,0
"2300100014000540X","2300100014","Tucumán",344,2.03,55,100,,,,44.19,31.55,0,4.81,6.16517555590772,,,,1,1,,,
"2300100015000618X","2300100015","Tucumán",345,60,38,18.14,54.41,3.43,,40.62,34.72,0,4.78,-3.85126459482233,3.55643297496115,,-1.00961689765958,1,1,1,,0
"2300100018000936X","2300100018","Tucumán",346,81.21,47,31.64,31.27,5.45,,47.25,23.56,0,4.6,-3.45408060199949,2.29039961225122,,0.627278986647849,1,1,0,,0
"2300100021001274X","2300100021","Tucumán",345,42.9,59,35.04,21.17,,,30.28,35.59,0,3.22,1.34296508500454,-3.25436890962323,,,1,0,1,,
"230010014C000589X","230010014C","Tucumán",339,79.35,18,3.02,4.53,21.51,,25.41,39.53,0,4.65,-3.50606518731191,-3.82378496330906,,3.87176961905871,1,1,1,,1
"230010018C000992X","230010018C","Tucumán",348,80.75,28,26.57,43.91,2.95,,29.26,34.26,0,3.63,-0.676339066558197,3.30293125545397,,-0.549119034333669,1,0,1,,0
"230010018E001053X","230010018E","Tucumán",346,81.79,29,21.63,43.26,4.26,,34.04,32.78,0,3.55,-3.16607454528487,2.14138614748623,,0.581824925217814,1,1,0,,0
"2300200025001390X","2300200025","Tucumán",342,50,32,11.31,64.29,3.57,,37.65,44.85,0,2.46,-4.05392409023145,3.4008916323215,,0.95408753232903,1,1,1,,0
"2300200027001415X","2300200027","Tucumán",345,82.03,50,25.98,60.5,2.14,,38.26,44.78,0,2.82,-2.63506514511755,3.190535191033,,-0.546313281285866,1,0,1,,0
"2301200143002630X","2301200143","Tucumán",339,50.74,31,29.76,40.48,2.98,,24.31,55.8,0,4.03,1.24705823057141,-3.02718215044199,,-0.743908026832396,1,0,1,,0
"2301200161002909X","2301200161","Tucumán",340,50.29,22,61.9,7.14,16.67,,37.99,43.57,0,6.1,3.52964126800548,-4.06448320159766,,3.50272697274093,1,1,1,,1
"230120142A002570X","230120142A","Tucumán",350,46.86,38,49.04,9.55,4.46,,29.31,46.41,0,4.05,4.24371036596703,-5.30494006947603,,0.299895547082957,1,1,1,,0
"2301600227003522X","2301600227","Tucumán",345,64.35,25,12.44,56.94,3.83,,28.99,41.5,0,4.67,-3.68274762703048,3.26387037785278,,-0.588747508779763,1,1,1,,0
"2301700233003729X","2301700233","Tucumán",336,27.68,22,73.03,,,,27.88,60.6,0,2.39,4.11206461486121,,,,1,1,,,
"2400200010000354X","2400200010","T del Fuego",299,78.93,63,24.43,55.66,,,30,41.44,0,0,-1.24424898867489,3.42174163019233,,,1,0,1,,
