"id","idcircu","idlabel","electores","participacion","mesascircuito","pJXC","pFDT","pFIT","pLib","pjxccircu","pfdtcircu","plibcircu","pfitcircu","zdifjxc","zdiffdt","zdiflib","zdiffit","atipicas","atipicajxc","atipicafdt","atipicalib","atipicafit"
"020890771C000506X","020890771C","PBA",350,72.86,72,32.53,39.76,12.05,12.45,30.85,44.01,9.29,6.65,0.37245845365274,-0.872945689172193,1.53779780458061,3.51155599426592,1,0,0,0,1
"020890771D000604X","020890771D","PBA",350,74.86,67,8.78,50.76,24.05,8.4,29.2,46.69,8.58,6.96,-3.82229611524068,0.803816240128399,-0.085710283127123,6.50637101776461,1,1,0,0,1
"020890771D000642X","020890771D","PBA",350,72,67,42.45,31.02,5.71,12.24,29.2,46.69,8.58,6.96,2.48018724421837,-3.09479127341818,1.74277575691817,-0.475890214874532,1,0,1,0,0
"0209000339000021X","0209000339","PBA",350,59.43,36,48.79,26.09,3.86,17.39,55.25,22.43,7.21,3.65,-1.48417221252563,1.16154634776004,4.2328440510426,0.173891699371005,1,0,0,1,0
"020900339A000052X","020900339A","PBA",350,60.57,29,28.3,31.6,2.83,13.21,36.27,34.74,6.28,3.48,-1.62686063871732,-0.75721665878479,3.51358407102215,-0.509592235026231,1,0,0,1,0
"0209200783000026X","0209200783","PBA",350,72.86,59,47.81,36.65,5.98,4.38,59.59,22.63,7.1,5.13,-2.66345994271979,3.73271592782608,-1.52800218931419,0.552624079731265,1,0,1,0,0
"0209200785000278X","0209200785","PBA",350,74,106,25,5.47,53.52,6.64,51.17,27.19,7.54,7.43,-4.95296742022276,-4.94640956499223,-0.532076565129013,9.47855261491381,1,1,1,0,1
"0209200787000584X","0209200787","PBA",350,79.43,50,44.24,26.62,7.19,14.39,47.65,31.53,7.92,6.38,-0.822442785502099,-1.36585580052631,3.08863989591992,0.482957423522151,1,0,0,1,0
"0209200788000721X","0209200788","PBA",350,73.14,88,25.3,40.32,8.7,4.35,22.52,55.17,5.31,6.65,0.801679541417047,-3.31094377051535,-0.619025159639603,,1,0,1,0,0
"0209200788000722X","0209200788","PBA",350,74.57,88,32.95,39.85,8.43,4.98,22.52,55.17,5.31,6.65,3.00774014999273,-3.41573458345422,-0.212789898626113,,1,1,1,0,0
"0209200791001138X","0209200791","PBA",350,52.57,62,58.24,4.4,15.38,8.79,44.82,32.23,7.21,7.33,3.25880399976563,-5.25705075151322,0.928171825329336,,1,1,1,0,
"020920783A000107X","020920783A","PBA",350,68,48,28.27,56.12,4.22,5.06,37.32,42.44,5.33,5.43,-2.96135857292377,3.39516867145275,-0.170262313334488,-0.708050708890385,1,0,1,0,0
"020920785B000385X","020920785B","PBA",350,74.29,106,56.47,23.14,7.06,5.49,40.85,37.82,6.59,6.93,3.13760194291869,-3.08407450432872,-0.69033025678919,0.0697281849627186,1,1,1,0,0
"020920785B000442X","020920785B","PBA",350,71.43,106,56,26,2.8,8.8,40.85,37.82,6.59,6.93,3.04319266550693,-2.48322620171427,1.38693624318556,-2.21521079920022,1,1,0,0,0
"020920786A000543X","020920786A","PBA",350,76.86,42,32.21,38.95,11.99,8.61,36.71,40.77,7.24,6.94,-1.3264644005272,-0.459312930390202,0.606349215375602,3.03770803008296,1,0,0,0,1
"020920788A000827X","020920788A","PBA",355,98.87,152,26.45,30.81,6.4,6.1,26.89,50.47,5.76,7.43,-0.110282875702927,-3.92985884583884,0.183449044506194,-0.55858066018865,1,0,1,0,0
"020920788A000832X","020920788A","PBA",350,73.71,152,10.47,63.18,10.85,7.75,26.89,50.47,5.76,7.43,-4.11555640691375,2.54061576452755,1.07371646637449,1.85470471635455,1,1,0,0,0
"020920788A000864X","020920788A","PBA",350,74.57,152,28.79,45.53,6.23,11.67,26.89,50.47,5.76,7.43,0.476221508717181,-0.987461988730614,3.18877603832826,-0.650773584685806,1,0,0,1,0
"020920788A000888X","020920788A","PBA",350,69.71,152,25.93,46.91,13.99,4.53,26.89,50.47,5.76,7.43,-0.240617183351839,-0.711612283376718,-0.66365389630182,3.55756226294908,1,0,0,0,1
"020920791A001246X","020920791A","PBA",350,72.57,85,25.1,39.04,6.77,13.94,33.11,41.59,7.3,8.06,-2.02070036681112,-0.584422426125816,3.25728337869751,-0.580652832995876,1,0,0,1,0
"020920791B001291X","020920791B","PBA",350,73.43,72,54.69,28.52,4.3,5.47,40.06,37.53,6.6,6.96,3.05365133966,-2.10195849921428,-0.640313465949737,-1.78778164143904,1,1,0,0,0
"0209400806000032X","0209400806","PBA",350,48.86,39,3.51,74.85,4.68,4.09,46.81,38.21,3.73,3.17,-4.88711087641399,4.40960022767601,0.265222275920423,1.05705266992438,1,1,1,0,0
"0209900846000002X","0209900846","PBA",350,66,73,32.47,50.22,3.46,7.36,52.17,31.27,6.08,2.6,-3.61018513171202,3.84102200712788,0.750171965453707,0.817773758317563,1,1,1,0,0
"0210200860000003X","0210200860","PBA",350,74.57,46,34.62,45.77,1.54,2.69,45.58,31.08,5.49,2.88,-2.25567046743493,3.43456407714786,-1.62673588263874,-1.14807740316329,1,0,1,0,0
"0210300866000031X","0210300866","PBA",350,81.43,51,64.87,20.07,6.09,5.38,50.18,28.31,5.6,8.52,3.23520245811078,-1.84670354899702,-0.116557337278238,-1.19582602793042,1,1,0,0,0
"0210500877000087X","0210500877","PBA",350,70.29,53,24.18,44.67,12.7,4.51,32.2,43.18,7.38,6.76,-2.16598889055323,0.358094572247602,-1.50014247006643,3.15953022565919,1,0,0,0,1
"0210600893000696X","0210600893","PBA",350,49.14,103,70.41,2.37,4.14,8.88,56.04,22.76,8.96,4.6,2.01312560208732,-3.19075394035001,-0.0320997503754561,-0.342151124770359,1,0,1,0,0
"0210700901000013X","0210700901","PBA",350,99.14,96,46.97,14.12,3.46,28.53,55.81,22.09,9.04,4.5,-1.97300889245992,-2.17348110656108,7.04147756559125,-0.694280896882702,1,0,0,1,0
"0210700901000055X","0210700901","PBA",350,73.43,96,48.05,33.59,1.95,8.98,55.81,22.09,9.04,4.5,-1.73196255718201,3.13613961423493,-0.0216772013307063,-1.70232335293355,1,0,1,0,0
"0210700904000276X","0210700904","PBA",350,86.86,57,44.11,24.58,14.81,7.74,40.72,32.25,8.13,6.98,0.537625914696278,-1.47576166859955,-0.21749077715592,3.82004301897805,1,0,0,0,1
"0210700904000278X","0210700904","PBA",350,48.29,57,7.69,48.52,8.28,14.79,40.72,32.25,8.13,6.98,-5.23828435469559,3.13046184460425,3.71407327143187,0.634234473138117,1,1,1,1,0
"0210700905000326X","0210700905","PBA",165,71.52,31,30.51,37.29,5.08,13.56,33.49,40.02,6.52,7.73,-0.683660693781846,-0.63763353579822,3.08492407145207,-1.35353296611311,1,0,0,1,0
"0210800913000020X","0210800913","PBA",350,74.86,118,19.14,55.47,5.86,5.08,39.96,34.84,8.94,4.08,-3.54115763146473,2.80847792684977,-2.11304790340543,0.429036852258404,1,1,0,0,0
"0210800913000028X","0210800913","PBA",350,77.43,118,47.94,28.46,3.37,14.98,39.96,34.84,8.94,4.08,1.35727367430781,-0.868545282273462,3.30642728926653,-0.17113267702442,1,0,0,1,0
"0210800913000067X","0210800913","PBA",350,70.57,118,46.15,1.62,3.64,9.31,39.96,34.84,8.94,4.08,1.05282256190042,-4.52242543528596,0.202546042554407,-0.106054053367246,1,0,1,0,0
"0210800913000112X","0210800913","PBA",350,69.43,118,33.75,6.67,47.08,8.75,39.96,34.84,8.94,4.08,-1.0562242503072,-3.83494053317295,-0.104010129960371,10.3643733972536,1,0,1,0,1
"021110933J000196X","021110933J","PBA",350,77.43,16,46.18,30.92,10.31,2.29,49.28,26.43,6.34,4.92,-0.538544970832241,1.17859449447899,-1.8740884031498,3.11951194082572,1,0,0,0,1
"0211300530000149X","0211300530","PBA",350,69.43,186,40.66,36.51,12.03,4.56,43.51,33.26,7.94,6.58,-0.489988155084068,0.613336498325588,-1.71703545549469,3.23677739461859,1,0,0,0,1
"0211300530000161X","0211300530","PBA",350,69.14,186,48.52,24.89,12.66,9.7,43.51,33.26,7.94,6.58,0.861347598937257,-1.57957738184159,0.894077633630371,3.61093698335431,1,0,0,0,1
"0211300530000167X","0211300530","PBA",350,70,186,34.98,37.86,12.35,6.58,43.51,33.26,7.94,6.58,-1.46652595188319,0.868107043783909,-0.690878171441651,3.42682670953197,1,0,0,0,1
"0211300535000520X","0211300535","PBA",350,74.29,135,27.91,44.19,13.95,5.04,41.3,34.12,8.34,7.82,-2.10709584257811,1.69111787217581,-1.6867319132409,3.16217998880065,1,0,0,0,1
"0211300536000885X","0211300536","PBA",178,78.09,116,30.43,37.68,13.04,11.59,33.38,39.78,8.4,7.31,-0.526777819144857,-0.403577465459565,1.51348481283905,3.10338276362589,1,0,0,0,1
"021130534A000313X","021130534A","PBA",350,76.86,160,40,31.7,13.21,6.42,39.3,36.03,8.51,7.56,0.130226732119586,-0.82143658464388,-0.962879939266297,3.02618825900687,1,0,0,0,1
"021130534A000359X","021130534A","PBA",350,71.71,160,38.96,32.53,13.25,10.44,39.3,36.03,8.51,7.56,-0.0632529841723694,-0.663978763568956,0.88916664248036,3.04761260066356,1,0,0,0,1
"021130534A000375X","021130534A","PBA",350,74.86,160,39.15,25.19,8.53,17.83,39.3,36.03,8.51,7.56,-0.0279057283113395,-2.05643708488214,4.29379953778081,0.519540285174631,1,0,0,1,0
"021130535A000601X","021130535A","PBA",350,74,168,23.83,57.03,7.42,4.69,31.47,42,7.54,8.85,-1.76112282731589,3.17604729390214,-1.33055878433892,-0.729625030440833,1,0,1,0,0
"021130535A000617X","021130535A","PBA",350,95.71,168,17.12,32.73,6.91,4.2,31.47,42,7.54,8.85,-3.30786813769412,-1.95887946869414,-1.55932152269895,-0.989840950388263,1,1,0,0,0
"021130535A000695X","021130535A","PBA",350,68.86,168,34.45,36.97,7.56,14.29,31.47,42,7.54,8.85,0.686930108036829,-1.06290870847158,3.15132343659219,-0.658193209278794,1,0,0,1,0
"021130535A000745X","021130535A","PBA",350,72,168,39.92,29.03,8.06,14.92,31.47,42,7.54,8.85,1.94783872916483,-2.74074074530345,3.44544695734079,-0.403079562271509,1,0,0,1,0
"0211500957000073X","0211500957","PBA",350,70.57,97,38.02,29.75,3.31,15.29,50.51,24.68,8.39,3.4,-2.04714508929915,1.22465794446337,3.46518377005019,-0.0716163917423137,1,0,0,1,0
"0211700964000041X","0211700964","PBA",350,73.43,127,62.35,18.43,3.53,9.8,42.85,32.91,7,3.98,3.08154522912734,-2.38300120778471,1.56876763365808,-0.327738242041216,1,1,0,0,0
"0211800389000004X","0211800389","PBA",350,80.29,37,30.94,42.81,7.19,10.43,47.36,29.59,9.56,6.92,-4.0206254391922,3.47455004205824,0.623410276069213,0.190854857980678,1,1,1,0,0
"0211800391000168X","0211800391","PBA",350,72.86,222,29.02,46.27,8.24,9.8,45.15,32.02,8.41,6.73,-3.3200405273009,3.09407990398952,0.815845930166109,0.847259817452156,1,1,1,0,0
"0211800391000220X","0211800391","PBA",350,69.43,222,49.36,33.91,0.86,10.3,45.15,32.02,8.41,6.73,0.866544985736938,0.41037270305545,1.10931568921867,-3.29365240294315,1,0,0,0,1
"0211800391000222X","0211800391","PBA",350,66.57,222,43.36,34.07,3.98,13.72,45.15,32.02,8.41,6.73,-0.36843599156036,0.44511324934586,3.11664884113816,-1.54302284635326,1,0,0,1,0
"0211800391000268X","0211800391","PBA",350,68.57,222,29.71,45.19,8.37,8.37,45.15,32.02,8.41,6.73,-3.17801771491171,2.85958121652926,-0.0234775807242051,0.9202027156434,1,1,0,0,0
"0211800391000278X","0211800391","PBA",350,70.57,222,41.49,30.29,9.96,14.94,45.15,32.02,8.41,6.73,-0.753338396151351,-0.375632156765044,3.8327150532264,1.81235047044402,1,0,0,1,0
"0211800392000341X","0211800392","PBA",182,70.33,31,29.69,47.66,7.03,5.47,37.47,38.7,8.62,6.46,-2.27121688701289,3.02543677050264,-1.52721177573396,0.370396782408787,1,0,1,0,0
"0211800393000369X","0211800393","PBA",350,47.71,145,62.58,9.2,9.2,8.59,39.83,37.74,7.85,6.91,4.86577846499887,-5.77919802601826,0.337788884681206,1.21980827195207,1,1,1,0,0
"0211800393000385X","0211800393","PBA",350,73.71,145,36.47,34.51,12.55,6.67,39.83,37.74,7.85,6.91,-0.718638050215217,-0.654057800421828,-0.538636329626788,3.00424395362868,1,0,0,0,1
"0211800394000641X","0211800394","PBA",232,71.55,153,48.48,24.24,7.27,10.91,37.31,39.47,7.8,7,2.48623852403997,-3.03554735923345,1.53358729679553,0.155920737577964,1,0,1,0,0
"0211800395000717X","0211800395","PBA",350,76.57,127,48.3,24.53,5.28,15.09,41.99,35.13,8.4,6.31,1.31131394772872,-2.11698506137098,3.30415496016359,-0.630372487825084,1,0,0,1,0
"021190337B000091X","021190337B","PBA",350,70.86,46,29.96,34.41,6.07,7.69,44.49,30.27,6.83,5.55,-3.10386183013219,1.10468419153444,0.536418071595158,0.34138728523774,1,1,0,0,0
"021190337E000202X","021190337E","PBA",350,92.57,55,35.19,52.16,4.01,3.09,43.31,34.97,5.28,5.69,-1.75190658610755,3.97758299801503,-1.48356720863309,-0.972024463178972,1,0,1,0,0
"0212100980000061X","0212100980","PBA",350,75.14,65,45.25,30.42,3.42,11.79,47.05,35.36,5.47,3.1,-0.279633761398548,-0.82410836568965,3.84335057815757,0.270147423419631,1,0,0,1,0
"0212200996000197X","0212200996","PBA",350,75.14,42,53.46,18.85,11.54,11.92,60.43,17.77,10.35,5.76,-1.98039591689159,0.430082405028846,0.699288217535386,3.3366670465333,1,0,0,0,1
"0212200997000225X","0212200997","PBA",350,74,32,44.75,28.4,9.73,13.62,59.14,19.63,9.9,6.05,-3.02223284100369,2.54827061518663,1.59582571608827,2.40519913579571,1,1,0,0,0
"0212200999000339X","0212200999","PBA",350,47.14,101,14.29,45.34,12.42,16.77,46.97,30.61,8.56,6.4,-5.757885588634,3.03513728935727,3.66392406808976,3.56806510580918,1,1,1,1,1
"0212201001000557X","0212201001","PBA",350,73.71,84,43.87,28.06,8.3,11.86,57.43,21.2,9.23,6.19,-3.09135850731826,1.88534004009864,1.29637028838261,1.25214613623651,1,1,0,0,0
"021220993A000089X","021220993A","PBA",350,92.29,35,53.31,11.99,21.14,7.89,68.63,12.12,10.39,4.91,-3.59062875325447,-0.0593973719601816,-1.15458003885243,5.24891984914562,1,1,0,0,1
"0212501013000031X","0212501013","PBA",350,48.57,49,26.88,43.12,8.12,10.62,50.32,27.15,8.1,5.32,-4.03942345206306,3.60179898972758,1.60928361377455,1.81562949358769,1,1,1,0,0
"0212501014000098X","0212501014","PBA",350,99.14,74,20.29,33.62,4.35,5.51,34.61,36.35,8.46,6.45,-3.11678572502675,-0.563175293158243,-1.27824160395172,-1.18236313779101,1,1,0,0,0
